unit,concept,learning_target,student_friendly_rule,needs_router_support,source_pages
Motion and Force,Concept 1: Describing Motion,"Describe and measure motion using distance, displacement, speed, velocity, and reference points.",Motion means position changes compared with a reference point.,Classify distance vs displacement; speed/velocity math; graph interpretation; direction words.,"1-10,18-19"
Motion and Force,Concept 1: Distance vs Displacement,Find total path distance and straight-line displacement.,Distance adds the path; displacement compares start to finish and needs direction.,Catch round-trip problems as displacement 0; use Pythagorean theorem for perpendicular paths; return compass direction when possible.,"2,6,18"
Motion and Force,Concept 1: Distance-Time Graphs,Analyze distance vs time graphs.,"On a distance-time graph, slope means speed.",Horizontal line = stopped; straight upward line = constant speed; curve getting steeper = speeding up; curve flattening = slowing down.,"5,8-10,18-19"
Motion and Force,Concept 2: Acceleration,Calculate and explain acceleration as change in velocity over time.,Acceleration happens when speed or direction changes.,"Handle 'comes to a stop', 'from rest', 'final speed', negative acceleration, and unit consistency.","11-14,18-19"
Motion and Force,Concept 2: Velocity-Time Graphs,Analyze velocity vs time graphs.,"On a velocity-time graph, slope means acceleration.",Horizontal nonzero line = constant velocity/zero acceleration; upward line = positive acceleration; downward line = negative acceleration; line at zero = not moving.,"12,14,18-19"
Motion and Force,Concept 3: Balanced and Unbalanced Forces,Determine net force and explain how balanced/unbalanced forces affect motion.,Balanced forces make 0 N net force; unbalanced forces change motion.,Handle force diagrams and words like right/left/up/down; add same-direction forces; subtract opposite-direction forces.,"20,24,28,37"
Motion and Force,Concept 3: Newton's 1st Law,Identify inertia examples and explain objects resisting changes in motion.,Objects keep doing what they are doing unless an unbalanced force acts.,"Scenario classification for seatbelts, objects at rest, objects continuing forward, friction stopping motion.","20,24-25,28,31,36"
Motion and Force,Concept 3: Friction and Air Resistance,Explain friction types and air resistance effects.,Friction opposes motion; air resistance depends a lot on shape and surface area.,Classify static/sliding/rolling friction; compare falling flat vs crumpled objects; explain terminal velocity.,"21,25,31"
Motion and Force,Concept 3: Gravity and Weight,Use gravity to explain falling objects and calculate weight.,Weight is the force of gravity on mass; near Earth use 9.8 m/s².,Do not overexplain mass vs weight unless asked; calculate W=mg and m=W/g; answer gravity-near-Earth as 9.8 m/s² when asked.,"22-23,27,31,37"
Motion and Force,Concept 3: Newton's 2nd Law,"Use F=ma to solve for force, mass, or acceleration.",More force gives more acceleration; more mass gives less acceleration if force stays the same.,"Formula router needs forward and rearranged versions of F=ma; net force can come from diagram first, then acceleration = Fnet/m.","22,27-28,31,34-37"
Motion and Force,Concept 3: Newton's 3rd Law,Identify equal and opposite action-reaction force pairs.,Forces come in pairs on different objects.,"Scenario classification for trampoline, swimming, balloon rockets, hoses, collisions; warn that paired forces act on different objects.","23,26,28,31,34-36"
Motion and Force,Concept 3: Momentum,Calculate momentum and apply simple conservation of momentum.,"Momentum equals mass times velocity, and it can transfer in collisions.",Formula router for p=mv; scenario classification for collisions and pool balls; simple transfer all momentum problems.,"23,31-32,37"
