id,circuit_type,components,prompt_patterns,diagram_goal,ascii_template,svg_hint,tutor_questions,checklist,source_ref,tags
em_diag_001,series,battery; switch; light bulb,draw a series circuit with a battery switch and light bulb; simple circuit battery switch bulb; switch from negative terminal,"One complete loop with battery, switch, and bulb in series. Put switch on the negative side if requested.",+| |−---/ --- (bulb) --- back to battery,single rectangular loop; battery left; switch bottom or negative side; bulb top or right,Is it series or parallel?; Where is the battery?; Where will the switch open or close the one path?; Is the bulb in the same loop?,one path; battery included; switch included; bulb included; closed path unless open switch requested,worksheet photos; PDF p.13-p.14,series; diagram; bulb
em_diag_002,series,battery; switch; resistor,draw a series circuit with battery switch resistor; simple circuit battery switch resistor,"One complete loop with battery, switch, and resistor in series.",+| |−---/ --- [R] --- back to battery,single rectangular loop; resistor as zigzag/rectangle on top or right; switch on negative side if requested,What is the load: resistor or bulb?; Is every part on one path?; Is the switch able to open the whole loop?,one path; battery; switch; resistor; complete loop,worksheet photos; PDF p.13-p.14,series; diagram; resistor
em_diag_003,series,battery; switch; motor,draw a series circuit with battery switch motor; simple circuit with motor,"One complete loop with battery, switch, and motor in series.",+| |−---/ --- (M) --- back to battery,motor symbol circle M; battery left; switch bottom,Is the motor in the only path?; Can the switch turn the whole circuit off?,one path; battery; switch; motor,worksheet photos,series; diagram; motor
em_diag_004,series,battery; switch; light bulb; ammeter,draw series circuit with ammeter; ammeter in a simple circuit; measure current with ammeter,Ammeter placed in series inside the same loop as the bulb.,+| |−---/ --- (A) --- (bulb) --- back to battery,circle A in the main loop; not across the bulb,What are you measuring: current or voltage?; Where must current flow through the ammeter?; Is the ammeter in series?,ammeter in series; one path; bulb in loop; battery in loop,"PDF p.14, p.17, p.22; worksheet photos",series; ammeter; diagram
em_diag_005,series_with_voltmeter,battery; switch; motor; voltmeter,add a voltmeter to test voltage of the motor; measure voltage of motor; voltmeter across motor,Main circuit remains series; voltmeter connects across both sides of the motor.,main loop: +| |−---/---(M)---back; voltmeter: (V) connected across M,draw motor in loop; draw voltmeter in a small parallel connection across motor terminals,What part are you measuring?; Where are the two sides of the motor?; Can the voltmeter touch both sides of the motor?,voltmeter across motor; voltmeter parallel to measured part; switch controls loop,worksheet photos; PDF p.13,voltmeter; motor; diagram
em_diag_006,series_with_voltmeter,battery; switch; light bulb; voltmeter,add a voltmeter to test voltage of the battery; measure voltage of battery; voltmeter across battery,Voltmeter connects across the battery terminals or across the part named in the prompt.,main loop: +| |−---/---(bulb)---back; voltmeter: (V) across battery terminals,"voltmeter forms a small parallel path across battery or bulb, not the only series path",Are you measuring the battery or the bulb?; Where are the two terminals?; Is the voltmeter across those terminals?,voltmeter across target; main loop complete; switch controls loop,worksheet photos,voltmeter; diagram; battery
em_diag_007,parallel,battery; switch; two light bulbs,draw a parallel circuit with battery switch two bulbs; parallel circuit with two light bulbs; two bulbs on separate branches,"Two separate branches, each with one bulb, connected across the battery. Main switch can turn off whole circuit if requested.",battery and main switch on side; top/bottom rails; branch1 has bulb; branch2 has bulb,two vertical branches between top and bottom rails; bulb in each branch; battery at left; optional main switch before branches,How many branches do you need?; Should each bulb have its own path?; Where can a switch turn off the whole circuit?,two branches; bulbs on separate branches; battery connected to rails; main switch before/after branch section if whole-circuit switch requested,"PDF p.13-p.14, p.16-p.17; worksheet photos",parallel; diagram; bulb
em_diag_008,parallel,battery; three light bulbs; three switches,parallel circuit with three light bulbs and three switches; each light can be turned off individually; 3 bulbs with individual switches,"Three parallel branches, each branch has a light bulb and its own switch.",battery left; rails; three branches; each branch has bulb + switch,branch columns; each branch contains bulb then switch; all branches connect to common rails,How many lights?; Does each light need its own branch?; Does each branch need its own switch?,three branches; one bulb per branch; one switch per branch; battery connected to rails,"PDF p.14, p.17; worksheet photos",parallel; diagram; switches
em_diag_009,parallel,two batteries; three light bulbs; one resistor; three switches,parallel circuit with two batteries 3 bulbs 1 resistor 3 switches; each light individually,Parallel circuit with three bulb branches and a resistor included as requested; switches control individual branches if requested.,battery stack left; rails; branches for bulbs and resistor; switches in branch paths,use rails with multiple vertical branches; label resistor and each bulb/switch,Which parts need their own branch?; Are the bulbs separate?; What should each switch control?,parallel branches; two batteries shown; resistor included; switches match prompt,PDF p.14,parallel; diagram; resistor; switches
em_diag_010,complex,battery; switch; three light bulbs,two bulbs in parallel and a third bulb in series; complex circuit with two parallel bulbs and one series bulb,One bulb is in series with a parallel section containing two bulbs.,battery---switch---bulb3---split to bulb1 and bulb2 branches---join---back,draw series bulb before branch split; two parallel branches after it; then branches rejoin,Which bulb must be on every path?; Which two bulbs need separate branches?; Where do the branches split and rejoin?,one bulb in series before/after branch; two bulbs in parallel; battery; switch controls whole circuit,PDF p.17,complex; series_parallel; diagram
em_diag_011,series,two batteries; three light bulbs; ammeter; resistor; switch,series circuit with 3 bulbs ammeter resistor switch two batteries; draw a series circuit with 3 light bulbs an ammeter a resistor a switch and two batteries,All components in one path. Ammeter is in series anywhere in the loop.,two batteries---switch---A---bulb---bulb---bulb---R---back,single rectangular loop with all components placed along it,"List the components.; Since it is series, how many paths?; Where can the ammeter go so all current passes through it?",one path; two batteries; three bulbs; ammeter in series; resistor; switch,PDF p.17,series; diagram; ammeter
em_diag_012,symbol_reference,wire; battery; switch; bulb; resistor; ammeter; voltmeter; motor,what symbols should I use; circuit diagram symbols; symbol for resistor,Return symbol reference and a short reminder of what each symbol means.,wire: line; battery: long/short lines; switch: break; bulb: circle X; resistor: zigzag; ammeter: circle A; voltmeter: circle V; motor: circle M,not required,"Which component are you trying to draw?; Is it a meter, source, load, or connector?",use standard symbol; label if needed; keep connections clear,worksheet photos; PDF p.13-p.17,symbols; diagram
em_diag_013,current_direction,battery; circuit; current arrows,label current flow; which way does current flow; show current direction,Add arrows around the closed path. Use conventional current from positive terminal to negative terminal unless class notes define electron flow.,"arrows leave + terminal, travel through circuit, return to − terminal",place arrowheads on wires around the loop/branches,Are we labeling conventional current or electron flow?; Where is the positive battery terminal?; Is the circuit closed?,arrows on complete path; start at positive terminal for conventional current; branch arrows in parallel,worksheet photos,current; diagram; arrows
em_diag_014,diagnostic_tutor,unknown,help me draw a circuit; tutor me through drawing; ask me questions to draw circuit,Guided circuit drawing mode that asks one question at a time and builds the diagram plan.,defer until components are known,"collect circuit type, components, meters, switches, and labels first","Is the circuit series, parallel, or complex?; What components are inside it?; Which switch controls the whole circuit or one branch?; Are you measuring current or voltage?; Should current be labeled?",identify circuit type; list components; place battery; place switches; place meters correctly; check path count,teacher request; PDF p.13-p.17; worksheet photos,tutor; diagram; guided
