id,intent,question_patterns,answer_short,answer_steps,misconceptions,category,source_ref,tags,ai_allowed
em_concept_001,rules_of_charge,what are the rules of charge; do like charges attract; do opposite charges attract; charge rules,"Opposite charges attract, like charges repel, and charge is conserved.",1) Positive and negative attract. 2) Positive-positive or negative-negative repel. 3) Charge is not created or destroyed; it is transferred.,Students often say charge disappears. Safer wording: charge moves or is transferred.,charge,"PDF p.1, p.6, p.11",charge; rules,false
em_concept_002,subatomic_particles_and_charge,list the subatomic particles and charges; what charges do protons electrons neutrons have,"Protons are positive, electrons are negative, and neutrons are neutral.",Protons and neutrons are in the nucleus. Electrons are outside the nucleus. A neutral atom has equal protons and electrons.,Neutrons do not have positive or negative electric charge.,charge,"PDF p.1, p.6",atom; charge,false
em_concept_003,how_objects_become_charged,how does an object become charged; gain or lose electrons; why does static build up,Objects become charged when electrons move onto or away from them.,Gain electrons = more negative. Lose electrons = more positive. Static electricity is the buildup of this charge.,Protons usually do not move between objects in basic static electricity examples. Electrons move.,charge,PDF p.6,charge; electrons,false
em_concept_004,charge_transfer_methods,three ways charge can be transferred; compare conduction friction induction; how is charge transferred,"Charge can transfer by conduction, friction, or induction.",Conduction = direct contact. Friction = rubbing. Induction = charge shifts without touching because of a nearby charged object.,Induction does not require direct contact.,charge_transfer,"PDF p.1, p.4, p.6",charge_transfer; conduction; friction; induction,false
em_concept_005,induction_examples,how can a balloon pick up paper without touching; why does charged rod bend water; explain induction example,"A charged object can make charges shift inside a nearby neutral object, causing attraction without direct contact.","The nearby charged object creates an electric field. Charges in the neutral object shift. The closer opposite charges are attracted more strongly, so the neutral object moves toward the charged object.",The neutral object does not have to become permanently charged to be attracted.,charge_transfer,"PDF p.2, p.6",induction; static,false
em_concept_006,lightning_static_discharge,how does lightning work; why is lightning static discharge; explain lightning,Lightning is a large static discharge caused by built-up charge moving suddenly.,"Charge separates in a cloud or between cloud and ground. When the electric field becomes strong enough, charge moves through the air in a sudden discharge.",Lightning is not caused by fire; it is moving electric charge.,charge,"PDF p.1, p.6, p.11",static_discharge; lightning,false
em_concept_007,conductor_vs_insulator,compare conductors and insulators; examples of conductors and insulators; why are metals conductors,Conductors let charge move easily. Insulators resist the movement of charge.,Metals are good conductors because some electrons can move freely. Rubber and plastic are common insulators because their electrons do not move as freely.,Insulators do not block all electricity in every situation; they resist charge movement under normal conditions.,materials,"PDF p.1, p.6, p.11",conductors; insulators,false
em_concept_008,open_vs_closed_circuit,difference between open and closed circuit; why does open circuit not work; what happens when switch is open,"A closed circuit lets current flow. An open circuit has a break, so current stops.",Closed switch = complete path = device can turn on. Open switch = broken path = device turns off.,"A battery can still have voltage even when the circuit is open, but current will not flow through the full circuit.",circuits,"PDF p.1, p.20",open_circuit; closed_circuit; switch,false
em_concept_009,how_battery_works,how does a battery work; what does a battery do in a circuit; why does battery make current,A battery uses chemical energy to create a voltage difference that pushes charge through a closed circuit.,"The battery has two terminals. When connected in a closed circuit, the voltage difference causes charges to flow.",A battery does not create electrons from nothing; it provides energy to move charge already in the circuit.,current,"PDF p.1, p.7, p.11",battery; voltage; current,false
em_concept_010,ohms_law_relationship,relationship between voltage current resistance; explain ohms law; how does voltage affect current; how does resistance affect current,Current increases when voltage increases and decreases when resistance increases.,"Ohm’s Law: I = V / R. If R stays the same and V goes up, I goes up. If V stays the same and R goes up, I goes down.",Voltage and current are not the same thing. Voltage is the push; current is the flow.,ohms_law,"PDF p.1, p.8, p.10, p.11; worksheet photos",ohms_law; relationship,false
em_concept_011,resistance_factors,four factors that affect resistance; what affects resistance; why does wire resistance change,"Resistance depends on material, length, thickness, and temperature.",Longer wire = more resistance. Thinner wire = more resistance. Hotter wire usually = more resistance. Different materials resist current differently.,"A shorter or thicker wire usually has less resistance, not more.",current,"PDF p.1, p.8, p.11",resistance; factors,false
em_concept_012,series_vs_parallel,compare series and parallel circuits; series vs parallel; difference between series and parallel,Series circuits have one path. Parallel circuits have two or more paths.,"In series, all parts are on the same path. If one part breaks, the whole path stops. In parallel, each branch is a separate path, so one branch can stop while others keep working.",Parallel circuits are not simply bigger series circuits; the key difference is multiple paths.,circuits,"PDF p.1, p.12, p.16-p.17, p.21; worksheet photos",series; parallel; comparison,false
em_concept_013,series_bulb_burnout,if one bulb burns out in series; will other bulbs work in series; bulb burns out series circuit,"In a series circuit, if one bulb burns out and opens the path, the other bulbs go out too.","Series has one path. If that path is broken anywhere, current cannot flow through the circuit.",The current cannot go around the broken bulb in a simple series circuit.,circuits,"PDF p.16-p.17, p.21",series; bulb; current_path,false
em_concept_014,parallel_bulb_burnout,if one bulb burns out in parallel; will other bulbs work in parallel; bulb burns out parallel circuit,"In a parallel circuit, other branches can still work if one bulb burns out.","Parallel circuits have multiple paths. If one branch opens, current can still flow through other complete branches.",A branch must still be connected to the battery path to work.,circuits,"PDF p.16-p.17, p.21",parallel; bulb; current_path,false
em_concept_015,ammeter_placement,where should an ammeter go; how to connect ammeter; ammeter in series or parallel,An ammeter should be placed in series with the circuit or branch being measured.,"Current must flow through the ammeter, so place it in the same path as the device or branch.",Do not place an ammeter across a component like a voltmeter.,diagram,"PDF p.1, p.14, p.17, p.22; worksheet photos",ammeter; diagram; series,false
em_concept_016,voltmeter_placement,where should a voltmeter go; how to connect voltmeter; voltmeter in series or parallel; measure voltage across motor,"A voltmeter should be placed across, or parallel to, the part being measured.","To measure the voltage of a motor, bulb, resistor, or battery, connect the voltmeter to both sides of that part.",A voltmeter should not normally be placed as the only path in series with the load.,diagram,"PDF p.1, p.13, p.15; worksheet photos",voltmeter; diagram; parallel,false
em_concept_017,total_resistance_series,how to find total resistance in series; series resistance formula; add resistors in series,Total resistance in series is found by adding each resistance.,Rtotal = R1 + R2 + R3 + ...,Do not use the reciprocal formula for series circuits.,formula_concept,"PDF p.1, p.15, p.18, p.22",series; resistance; formula,false
em_concept_018,total_resistance_parallel,how to find total resistance in parallel; parallel resistance formula; parallel resistors,"Total resistance in parallel is found by adding reciprocals, then taking the reciprocal of the sum.","1/Rtotal = 1/R1 + 1/R2 + 1/R3 + ... For identical resistors, Rtotal = R / number of branches.","Adding branches in parallel usually decreases total resistance, not increases it.",formula_concept,"PDF p.1, p.15, p.18, p.23",parallel; resistance; formula,false
em_concept_019,brightness_current,which bulb is brighter; why is bulb brighter; what makes bulb brighter,"In a simple comparison, the bulb with more current or power is usually brighter.","More voltage can increase current and brightness. More resistance can decrease current and brightness. In series, adding bulbs usually makes bulbs dimmer; in parallel, each branch may still get the battery voltage.","Brightness is not only about the number of bulbs; it depends on circuit design, voltage, current, and resistance.",circuits,PDF p.16-p.21; worksheet photos,brightness; current; voltage,false
em_concept_020,adding_lights_series,what happens when you add lights in series; adding bulbs series current; why are series bulbs dimmer,"Adding more lights in series increases total resistance, so current usually decreases and bulbs get dimmer.","Series resistances add. If battery voltage stays the same, higher total resistance causes lower current.",More bulbs does not automatically mean more light if the same battery must push current through more resistance.,circuits,PDF p.20-p.21,series; brightness; resistance,false
em_concept_021,adding_branches_parallel,what happens when adding branches in parallel; parallel branches total resistance; adding bulbs parallel current,Adding branches in parallel usually decreases total resistance and can increase total current.,Each branch adds another path. More paths make it easier for total current to flow from the battery.,Each branch still needs a complete path back to the battery.,circuits,PDF p.20-p.21,parallel; resistance; current,false
em_concept_022,prevent_overheating,how prevent overheating in circuits; why use fuse or circuit breaker; what prevents overheating,Fuses and circuit breakers help prevent overheating by opening the circuit when too much current flows.,"Too much current can heat wires. A fuse melts or a breaker trips, making an open circuit that stops current.",A safety device does not remove all voltage from the source; it opens the path.,safety,PDF p.14,safety; fuse; breaker,false
em_concept_023,magnetic_force_similarity_electric,similarity between magnetic and electric force; how are magnetic and electric forces alike,Both magnetic and electric forces can attract or repel and can act at a distance.,"Like electric charges, magnetic poles can push or pull. Both forces are explained using fields.","Magnetic poles are not the same as electric charges, but the forces have similar patterns.",magnetism,PDF p.27,magnetism; electric_force; comparison,false
em_concept_024,magnetic_force_similarity_gravity,similarity between magnetic and gravitational force; how are magnets like gravity,Both magnetic force and gravitational force can act over a distance and get weaker farther away.,Gravity pulls masses. Magnetism pushes or pulls magnetic objects. Both can act without touching.,"Gravity is always attractive, but magnetism can attract or repel.",magnetism,PDF p.27,magnetism; gravity; comparison,false
em_concept_025,cutting_magnet,what happens if you break a magnet; can magnetic poles be isolated; cut magnet in half,"If you cut a magnet in half, each piece becomes a smaller magnet with both a north and south pole.",Magnetic poles cannot be isolated in normal magnets. You do not get a north-only or south-only magnet.,Breaking a magnet does not separate north and south poles into separate objects.,magnetism,"PDF p.1, p.27-p.28",magnet; poles,false
em_concept_026,magnetic_fields_closed_loops,what direction are magnetic field lines; why do magnetic field lines form loops; field lines north to south,Magnetic field lines form closed loops and are commonly shown from north to south outside a magnet.,"Because isolated magnetic poles do not occur, magnetic field lines always loop around from one pole to the other.",Field lines do not simply start at one pole and disappear.,magnetism,PDF p.27-p.28,magnetic_field; field_lines,false
em_concept_027,magnetic_domains,what are magnetic domains; why are some materials magnetic; magnetic vs nonmagnetic domains,Magnetic materials have many domains lined up. Nonmagnetic materials have domains pointing in different directions.,"When domains align, their tiny magnetic fields combine into a larger magnetic field.",A material can have domains but not be strongly magnetic if they are not lined up.,magnetism,"PDF p.25, p.27",domains; ferromagnetism,false
em_concept_028,moving_charge_magnetic_field,what can moving electric charge produce; relationship between electricity and magnetism; current creates magnetic field,Moving electric charge can produce a magnetic field.,Electric current is moving charge. A current-carrying wire creates a magnetic field around it.,A stationary charge has an electric field; moving charge can also create a magnetic field.,magnetism,"PDF p.1, p.27-p.28",current; magnetic_field; electromagnetism,false
em_concept_029,electromagnet_requirements,what is necessary to make an electromagnet; what do you need for an electromagnet; how to create electromagnet,"An electromagnet needs electric current flowing through a coil of wire, often wrapped around metal.","Use a power source, a conducting wire coil, and usually an iron core or other ferromagnetic material.",A coil with no current will not act as an electromagnet.,magnetism,PDF p.26-p.28,electromagnet; current; coil,false
em_concept_030,increase_electromagnet_strength,how to increase electromagnet strength; make electromagnet stronger; two ways to strengthen electromagnet,Increase the number of wire loops or increase the current.,More loops strengthen the magnetic field. More current also strengthens the magnetic field. A good iron core can also help in many designs.,Just using a longer wire without forming more useful loops may not make it stronger.,magnetism,"PDF p.1, p.27",electromagnet; strength,false
em_concept_031,oersted_observation,what did Oersted observe; Oersted electricity magnetism; current carrying wire compass,"Oersted observed that a current-carrying wire could affect a compass, showing a link between electricity and magnetism.",The current in the wire created a magnetic field that moved the compass needle.,The wire did not have to touch the compass needle to affect it.,magnetism_history,PDF p.28,history; electromagnetism; Oersted,false
em_concept_032,electromagnet_advantages,benefit of electromagnet over regular magnet; why use electromagnet; can electromagnets turn off,An electromagnet can be turned on and off by controlling the current.,"When current flows, the magnetic field is produced. When current stops, the electromagnet loses most or all of its magnetism.",Permanent magnets cannot usually be switched off the same way.,magnetism,PDF p.28,electromagnet; applications,false
em_concept_033,electromagnet_applications,examples of electromagnets; where are electromagnets used; how does a doorbell use electromagnet,"Electromagnets are used in doorbells, scrapyard cranes, motors, maglev trains, MRI machines, and some launch systems.",A doorbell uses current to create a magnetic field that pulls a striker to hit the bell. Scrapyard cranes use electromagnets to lift metal.,Electromagnets still need a power source to work.,magnetism,PDF p.28,electromagnet; applications,false
em_concept_034,circuit_minimum_parts,what does a simple circuit need; simplest circuit setup; parts needed for circuit,"A simple working circuit needs a power source, conducting path, and a load; a switch is often added to control it.","Battery provides voltage, wires provide a path, load uses energy, and switch opens or closes the path.",A bulb will not light if there is no complete path back to the battery.,circuits,PDF p.19-p.20,circuit; components,false
em_concept_035,battery_voltage_series,two 1.5 volt batteries total voltage; batteries in series add voltage; four D cell batteries voltage,Batteries connected positive-to-negative in series add their voltages.,Two 1.5 V batteries = 3 V. Four 1.5 V batteries = 6 V. Two 6 V batteries = 12 V.,Batteries must be connected correctly for the voltages to add.,circuits,worksheet photos; PDF p.22,battery; voltage; series,false
em_concept_036,circuit_symbols,what are circuit diagram symbols; symbol for battery bulb switch resistor; circuit notation,"Circuit diagrams use symbols for parts such as wires, batteries, bulbs, switches, resistors, ammeters, and voltmeters.",Wire = line. Battery = long/short parallel lines. Switch = break with lever. Bulb = circle with filament. Resistor = zigzag. Ammeter = circle A. Voltmeter = circle V.,A diagram symbol does not need to look exactly like the real object; it shows the function in the circuit.,diagram,PDF p.13-p.17; worksheet photos,diagram; symbols,false
